,ID,Age,Gender,Caffeine consumption,Alcohol consumption,Smoking status,Exercise frequency
89,90,24,Female,25.0,0.0,No,1.0
90,91,45,Male,0.0,0.0,Yes,2.0
91,92,57,Male,0.0,3.0,No,3.0
92,93,39,Male,0.0,3.0,Yes,3.0
93,94,43,Male,0.0,0.0,No,0.0
94,95,51,Male,0.0,3.0,No,0.0
95,96,61,Female,25.0,2.0,Yes,0.0
96,97,41,Male,200.0,0.0,No,3.0
97,98,53,Male,25.0,0.0,No,2.0
98,99,32,Female,25.0,0.0,No,0.0
99,100,65,Male,0.0,0.0,No,3.0
100,101,38,Female,25.0,1.0,No,0.0
101,102,53,Male,0.0,1.0,No,3.0
102,103,55,Female,25.0,0.0,No,0.0
103,104,44,Female,25.0,5.0,No,0.0
104,105,38,Female,50.0,0.0,No,1.0
105,106,40,Female,25.0,0.0,No,3.0
106,107,53,Male,0.0,5.0,No,2.0
107,108,24,Male,50.0,0.0,Yes,1.0
108,109,39,Female,50.0,2.0,No,4.0
109,110,47,Male,50.0,0.0,Yes,3.0
110,111,51,Male,50.0,0.0,Yes,3.0
111,112,25,Male,100.0,0.0,No,3.0
112,113,23,Male,75.0,0.0,No,2.0
113,114,54,Male,25.0,0.0,Yes,1.0
114,115,32,Male,,0.0,Yes,1.0
115,116,22,Male,0.0,5.0,Yes,3.0
116,117,50,Male,50.0,0.0,Yes,3.0
117,118,30,Male,0.0,5.0,Yes,0.0
118,119,52,Male,0.0,0.0,No,3.0
119,120,52,Male,0.0,0.0,No,3.0
120,121,51,Male,0.0,0.0,No,4.0
121,122,15,Female,0.0,0.0,No,0.0
122,123,48,Male,0.0,0.0,No,0.0
123,124,19,Male,25.0,0.0,Yes,1.0
124,125,56,Male,0.0,2.0,Yes,3.0
125,126,25,Male,25.0,0.0,No,3.0
126,127,54,Male,0.0,0.0,Yes,0.0
127,128,37,Female,50.0,1.0,No,3.0
128,129,33,Female,25.0,1.0,No,0.0
129,130,25,Male,50.0,,No,3.0
130,131,29,Female,25.0,1.0,Yes,0.0
131,132,36,Female,50.0,0.0,Yes,1.0
132,133,32,Female,50.0,0.0,No,1.0
133,134,37,Male,0.0,0.0,No,3.0
134,135,27,Male,75.0,2.0,Yes,2.0
135,136,48,Female,50.0,1.0,No,4.0
136,137,52,Male,,3.0,Yes,1.0
137,138,36,Male,0.0,0.0,Yes,3.0
138,139,55,Male,0.0,3.0,No,3.0
139,140,52,Female,25.0,2.0,No,0.0
140,141,37,Female,25.0,,Yes,0.0
141,142,28,Female,50.0,5.0,Yes,1.0
142,143,48,Male,0.0,3.0,No,3.0
143,144,25,Male,0.0,3.0,No,3.0
144,145,65,Female,25.0,1.0,Yes,0.0
145,146,31,Female,50.0,5.0,Yes,1.0
146,147,42,Male,0.0,0.0,Yes,3.0
147,148,40,Female,25.0,1.0,No,0.0
148,149,26,Female,50.0,,No,1.0
149,150,33,Female,50.0,0.0,No,1.0
150,151,65,Male,0.0,2.0,Yes,3.0
151,152,50,Female,50.0,2.0,No,4.0
152,153,22,Male,75.0,1.0,No,4.0
153,154,41,Male,0.0,0.0,No,3.0
154,155,68,Male,0.0,1.0,Yes,3.0
155,156,61,Male,0.0,0.0,No,1.0
156,157,23,Female,50.0,0.0,No,1.0
157,158,45,Female,0.0,0.0,No,4.0
158,159,14,Female,0.0,0.0,No,0.0
159,160,30,Male,0.0,0.0,Yes,1.0
160,161,42,Male,0.0,0.0,Yes,2.0
161,162,42,Male,200.0,0.0,No,3.0
162,163,53,Male,0.0,0.0,No,0.0
163,164,49,Female,25.0,1.0,Yes,0.0
164,165,48,Male,,0.0,Yes,3.0
165,166,48,Female,0.0,5.0,No,4.0
166,167,40,Female,0.0,0.0,No,3.0
167,168,48,Female,75.0,0.0,No,4.0
168,169,35,Male,50.0,1.0,No,3.0
169,170,55,Female,,0.0,No,1.0
170,171,24,Male,0.0,3.0,No,3.0
171,172,33,Female,50.0,3.0,No,1.0
172,173,27,Male,0.0,0.0,Yes,2.0
173,174,24,Female,0.0,0.0,No,0.0
174,175,48,Female,0.0,0.0,No,4.0
175,176,42,Male,,0.0,No,3.0
176,177,62,Female,50.0,2.0,No,0.0
177,178,44,Female,50.0,0.0,No,1.0
178,179,39,Female,25.0,1.0,Yes,0.0
179,180,53,Male,75.0,0.0,No,2.0
180,181,37,Male,0.0,0.0,Yes,2.0
181,182,29,Female,50.0,0.0,Yes,1.0
182,183,49,Female,0.0,0.0,No,4.0
183,184,24,Female,0.0,0.0,No,0.0
184,185,48,Female,25.0,0.0,No,4.0
185,186,36,Female,50.0,,No,4.0
186,187,37,Female,,3.0,No,1.0
187,188,27,Male,50.0,,No,2.0
188,189,21,Male,50.0,0.0,Yes,1.0
189,190,52,Female,0.0,0.0,No,0.0
190,191,53,Male,50.0,4.0,No,2.0
191,192,27,Female,75.0,0.0,Yes,2.0
192,193,24,Male,0.0,,No,2.0
193,194,18,Female,25.0,0.0,No,0.0
194,195,44,Female,0.0,0.0,No,3.0
195,196,61,Female,50.0,5.0,No,0.0
196,197,30,Female,75.0,0.0,Yes,2.0
197,198,48,Male,0.0,0.0,Yes,2.0
198,199,32,Female,25.0,1.0,No,0.0
199,200,52,Male,0.0,0.0,Yes,0.0
200,201,61,Male,0.0,4.0,No,0.0
201,202,64,Female,50.0,0.0,No,0.0
202,203,59,Female,25.0,1.0,Yes,0.0
203,204,38,Male,,3.0,Yes,2.0
204,205,31,Female,0.0,3.0,No,4.0
205,206,32,Female,25.0,1.0,No,0.0
206,207,31,Female,25.0,1.0,No,0.0
207,208,41,Female,50.0,0.0,Yes,0.0
208,209,32,Female,0.0,0.0,No,2.0
209,210,61,Male,0.0,0.0,Yes,3.0
210,211,61,Male,0.0,0.0,No,0.0
211,212,10,Female,0.0,0.0,No,0.0
212,213,36,Female,50.0,2.0,No,4.0
213,214,29,Female,75.0,0.0,Yes,2.0
214,215,27,Male,25.0,2.0,No,2.0
215,216,22,Female,,5.0,No,1.0
216,217,22,Male,0.0,5.0,No,3.0
217,218,40,Female,50.0,3.0,Yes,1.0
218,219,56,Female,50.0,0.0,No,0.0
219,220,13,Female,0.0,0.0,No,0.0
220,221,37,Female,0.0,0.0,No,4.0
221,222,41,Female,25.0,1.0,Yes,0.0
222,223,52,Male,50.0,1.0,No,3.0
223,224,63,Female,50.0,0.0,No,0.0
224,225,38,Male,75.0,1.0,No,4.0
225,226,60,Male,0.0,3.0,No,3.0
226,227,29,Female,0.0,0.0,No,5.0
227,228,29,Female,0.0,0.0,No,2.0
228,229,30,Female,25.0,0.0,No,0.0
229,230,26,Male,0.0,0.0,No,3.0
230,231,32,Male,50.0,0.0,No,1.0
231,232,55,Male,0.0,0.0,Yes,3.0
232,233,36,Female,25.0,1.0,No,0.0
233,234,53,Male,25.0,0.0,Yes,1.0
234,235,18,Female,50.0,0.0,No,0.0
235,236,28,Female,50.0,0.0,No,1.0
236,237,58,Male,0.0,3.0,No,0.0
237,238,51,Male,25.0,0.0,Yes,1.0
238,239,37,Female,25.0,1.0,No,0.0
239,240,41,Male,0.0,0.0,Yes,3.0
240,241,32,Male,0.0,0.0,No,4.0
241,242,56,Male,0.0,0.0,Yes,1.0
242,243,43,Female,50.0,0.0,No,1.0
243,244,52,Male,75.0,0.0,No,3.0
244,245,37,Female,0.0,0.0,No,4.0
245,246,67,Male,0.0,3.0,No,3.0
246,247,36,Female,25.0,1.0,Yes,0.0
247,248,29,Female,0.0,0.0,No,5.0
248,249,25,Male,0.0,0.0,Yes,0.0
249,250,61,Male,0.0,4.0,No,1.0
250,251,29,Female,50.0,2.0,No,2.0
251,252,31,Male,50.0,0.0,Yes,1.0
252,253,23,Female,50.0,5.0,Yes,1.0
253,254,46,Female,0.0,0.0,No,3.0
254,255,47,Female,50.0,5.0,No,1.0
255,256,65,Female,50.0,0.0,Yes,0.0
256,257,35,Female,25.0,1.0,No,0.0
257,258,27,Female,25.0,5.0,Yes,5.0
258,259,54,Male,0.0,0.0,Yes,3.0
259,260,48,Female,0.0,0.0,No,4.0
260,261,46,Male,0.0,3.0,Yes,3.0
261,262,37,Female,25.0,0.0,No,4.0
262,263,31,Female,50.0,0.0,No,
263,264,23,Female,25.0,0.0,No,1.0
264,265,48,Female,50.0,0.0,No,3.0
265,266,44,Male,0.0,0.0,Yes,3.0
266,267,24,Male,0.0,3.0,Yes,0.0
267,268,30,Female,0.0,3.0,No,4.0
268,269,45,Male,0.0,3.0,No,3.0
269,270,27,Male,25.0,0.0,No,2.0
270,271,44,Female,,0.0,No,0.0
271,272,50,Female,0.0,0.0,No,3.0
272,273,58,Male,0.0,3.0,Yes,3.0
273,274,49,Male,50.0,0.0,Yes,3.0
274,275,46,Male,0.0,5.0,No,0.0
275,276,27,Female,50.0,4.0,No,1.0
276,277,37,Female,50.0,1.0,No,4.0
277,278,48,Female,25.0,0.0,No,4.0
278,279,42,Female,50.0,0.0,No,1.0
279,280,48,Female,0.0,2.0,No,4.0
280,281,25,Female,50.0,0.0,Yes,1.0
281,282,64,Male,0.0,0.0,Yes,3.0
282,283,53,Male,75.0,0.0,No,2.0
283,284,38,Female,25.0,2.0,No,0.0
284,285,17,Female,50.0,0.0,No,0.0
285,286,27,Male,0.0,5.0,Yes,2.0
286,287,50,Male,0.0,2.0,Yes,3.0
287,288,40,Female,75.0,2.0,Yes,3.0
288,289,34,Female,25.0,1.0,No,0.0
289,290,26,Female,50.0,0.0,No,1.0
290,291,54,Male,0.0,0.0,No,3.0
291,292,46,Female,0.0,0.0,No,3.0
292,293,38,Female,0.0,0.0,No,4.0
293,294,24,Female,25.0,0.0,No,0.0
294,295,38,Male,75.0,1.0,No,4.0
295,296,29,Female,0.0,0.0,No,2.0
296,297,51,Male,0.0,0.0,No,0.0
297,298,27,Female,25.0,1.0,Yes,0.0
298,299,35,Female,25.0,1.0,Yes,0.0
299,300,22,Male,0.0,4.0,No,3.0
300,301,47,Female,0.0,3.0,No,4.0
301,302,25,Female,25.0,0.0,No,1.0
302,303,25,Male,0.0,5.0,No,3.0
303,304,51,Male,0.0,0.0,Yes,2.0
304,305,25,Male,0.0,4.0,No,
305,306,65,Male,0.0,0.0,No,1.0
306,307,27,Male,0.0,5.0,Yes,2.0
307,308,41,Female,25.0,1.0,Yes,0.0
308,309,56,Female,0.0,5.0,No,3.0
309,310,28,Female,50.0,0.0,No,1.0
310,311,33,Female,25.0,1.0,No,0.0
311,312,22,Female,0.0,0.0,No,4.0
312,313,50,Male,0.0,3.0,No,3.0
313,314,25,Male,25.0,0.0,No,2.0
314,315,54,Male,0.0,0.0,Yes,0.0
315,316,40,Female,0.0,0.0,No,3.0
316,317,58,Male,0.0,0.0,No,0.0
317,318,45,Male,0.0,5.0,No,0.0
318,319,55,Male,0.0,0.0,No,0.0
319,320,54,Male,0.0,4.0,No,2.0
320,321,60,Male,0.0,2.0,Yes,3.0
321,322,25,Male,,0.0,No,3.0
322,323,30,Female,50.0,0.0,Yes,1.0
323,324,41,Male,0.0,0.0,No,0.0
324,325,44,Female,,0.0,No,1.0
325,326,52,Female,0.0,4.0,Yes,0.0
326,327,29,Female,75.0,1.0,Yes,2.0
327,328,44,Female,50.0,1.0,No,1.0
328,329,42,Female,25.0,1.0,No,0.0
329,330,26,Female,50.0,2.0,Yes,1.0
330,331,49,Male,0.0,0.0,No,0.0
331,332,46,Male,0.0,0.0,Yes,3.0
332,333,12,Female,0.0,0.0,No,0.0
333,334,27,Female,25.0,0.0,No,5.0
334,335,39,Female,25.0,1.0,Yes,0.0
335,336,44,Female,50.0,4.0,Yes,1.0
336,337,50,Female,0.0,,No,5.0
337,338,52,Male,50.0,1.0,No,3.0
338,339,44,Male,0.0,0.0,No,3.0
339,340,57,Male,0.0,0.0,No,0.0
340,341,53,Male,75.0,0.0,No,2.0
341,342,65,Female,0.0,0.0,No,0.0
342,343,41,Female,50.0,5.0,Yes,0.0
343,344,52,Female,50.0,0.0,No,1.0
344,345,53,Male,0.0,3.0,No,3.0
345,346,25,Male,50.0,2.0,Yes,3.0
346,347,51,Male,0.0,0.0,No,4.0
347,348,30,Male,0.0,4.0,No,2.0
348,349,57,Male,25.0,0.0,Yes,1.0
349,350,24,Female,50.0,0.0,Yes,1.0
350,351,24,Male,0.0,1.0,No,3.0
351,352,19,Female,25.0,0.0,No,1.0
352,353,52,Male,0.0,5.0,No,3.0
353,354,45,Male,0.0,2.0,No,0.0
354,355,29,Female,0.0,5.0,Yes,2.0
355,356,39,Male,,0.0,Yes,2.0
356,357,51,Male,0.0,0.0,No,4.0
357,358,27,Female,75.0,0.0,Yes,2.0
358,359,41,Male,0.0,2.0,Yes,3.0
359,360,65,Female,0.0,0.0,No,0.0
360,361,56,Female,25.0,4.0,Yes,0.0
361,362,27,Female,75.0,0.0,Yes,2.0
362,363,28,Male,0.0,0.0,No,1.0
363,364,30,Female,25.0,1.0,No,0.0
364,365,37,Male,0.0,0.0,Yes,3.0
365,366,22,Female,50.0,0.0,No,1.0
366,367,52,Male,75.0,0.0,No,
367,368,56,Male,0.0,0.0,Yes,3.0
368,369,56,Male,25.0,0.0,Yes,1.0
369,370,41,Male,25.0,1.0,No,1.0
370,371,40,Female,50.0,1.0,No,3.0
371,372,32,Female,50.0,2.0,Yes,1.0
372,373,29,Female,25.0,1.0,No,2.0
373,374,39,Male,0.0,0.0,Yes,3.0
374,375,65,Male,25.0,1.0,No,1.0
375,376,60,Female,50.0,3.0,No,0.0
376,377,48,Male,0.0,2.0,No,0.0
377,378,21,Female,25.0,0.0,No,1.0
378,379,25,Male,0.0,5.0,No,2.0
379,380,61,Male,0.0,3.0,No,3.0
380,381,35,Female,25.0,1.0,No,0.0
381,382,22,Male,75.0,1.0,No,4.0
382,383,40,Male,0.0,0.0,No,3.0
383,384,39,Male,0.0,0.0,Yes,3.0
384,385,40,Male,0.0,0.0,Yes,3.0
385,386,32,Female,0.0,0.0,No,0.0
386,387,62,Female,50.0,5.0,No,1.0
387,388,48,Female,0.0,0.0,No,3.0
388,389,22,Female,25.0,0.0,No,1.0
389,390,36,Female,50.0,2.0,No,4.0
390,391,21,Male,,0.0,No,2.0
391,392,37,Female,50.0,4.0,Yes,1.0
392,393,37,Female,,3.0,Yes,4.0
393,394,56,Male,0.0,0.0,No,0.0
394,395,55,Female,50.0,5.0,Yes,0.0
395,396,56,Male,0.0,,No,3.0
396,397,57,Female,50.0,1.0,No,1.0
397,398,59,Female,50.0,2.0,No,0.0
398,399,30,Female,50.0,0.0,No,0.0
399,400,32,Female,50.0,0.0,No,1.0
400,401,37,Female,25.0,0.0,No,4.0
401,402,48,Male,0.0,0.0,Yes,3.0
402,403,38,Male,0.0,0.0,Yes,3.0
403,404,58,Male,0.0,3.0,Yes,3.0
404,405,24,Male,,3.0,Yes,1.0
405,406,56,Male,0.0,,Yes,3.0
406,407,53,Male,0.0,0.0,No,3.0
407,408,35,Female,25.0,1.0,Yes,0.0
408,409,61,Female,0.0,2.0,No,0.0
409,410,32,Female,50.0,0.0,Yes,1.0
410,411,58,Male,0.0,4.0,Yes,3.0
411,412,53,Male,0.0,0.0,No,2.0
412,413,27,Female,25.0,0.0,No,1.0
413,414,51,Male,50.0,0.0,Yes,3.0
414,415,28,Female,25.0,4.0,No,1.0
415,416,49,Male,0.0,4.0,No,0.0
416,417,49,Female,0.0,0.0,No,5.0
417,418,44,Male,0.0,3.0,Yes,3.0
418,419,51,Male,0.0,2.0,No,0.0
419,420,21,Male,50.0,0.0,Yes,1.0
420,421,55,Male,0.0,,Yes,3.0
421,422,44,Male,0.0,0.0,No,0.0
422,423,41,Female,25.0,1.0,No,0.0
423,424,41,Female,50.0,4.0,Yes,1.0
424,425,19,Male,0.0,4.0,Yes,2.0
425,426,26,Female,50.0,0.0,No,1.0
426,427,26,Male,75.0,,No,4.0
427,428,54,Male,0.0,3.0,No,3.0
428,429,23,Male,0.0,5.0,No,3.0
429,430,52,Male,0.0,0.0,No,4.0
430,431,38,Female,50.0,0.0,Yes,1.0
431,432,37,Female,50.0,1.0,No,3.0
432,433,55,Male,0.0,3.0,No,3.0
433,434,29,Female,75.0,0.0,Yes,2.0
434,435,28,Female,75.0,2.0,No,4.0
435,436,40,Female,0.0,0.0,No,3.0
436,437,59,Male,0.0,3.0,No,3.0
437,438,56,Male,0.0,3.0,No,3.0
438,439,55,Male,0.0,3.0,No,3.0
439,440,25,Male,0.0,3.0,Yes,3.0
440,441,28,Female,75.0,,Yes,2.0
441,442,46,Male,0.0,3.0,No,0.0
442,443,27,Female,,4.0,No,1.0
443,444,65,Female,50.0,2.0,No,0.0
444,445,24,Male,0.0,2.0,Yes,0.0
445,446,30,Female,50.0,2.0,Yes,1.0
446,447,23,Male,0.0,4.0,Yes,
447,448,27,Female,0.0,0.0,No,5.0
448,449,52,Male,25.0,0.0,No,3.0
449,450,40,Female,,3.0,Yes,0.0
450,451,45,Male,0.0,0.0,No,3.0
451,452,18,Male,50.0,0.0,No,1.0
